Stop Initial,Sequence Number
AA,58
AD,94
AJ,41
AP,124
AR,31
AS,36
AZ,46
BF,75
BI,42
BO,10
BR,98
BU,52
BW,112
CF,104
CJ,91
CO,107
CX,80
DC,105
DF,79
DH,120
DJ,125
DO,78
DV,126
DW,9
EC,65
EF,17
EI,44
EV,116
FJ,71
FP,81
FQ,19
FT,68
FW,96
FX,106
FY,39
GD,12
GE,59
GF,47
GL,21
GO,63
GX,26
HB,69
HK,84
HN,100
HP,77
HS,56
HZ,83
ID,3
IF,76
IK,73
IM,22
IP,16
IR,54
IX,66
IZ,117
JM,6
JV,24
KG,97
KL,109
KM,2
KT,88
KX,32
LC,53
LF,111
LI,28
LK,72
LN,103
LR,121
LZ,99
MA,38
MC,37
ML,123
MM,14
MR,50
MU,86
NF,85
NU,82
NV,57
NW,11
NZ,95
OC,23
OT,127
OV,62
PE,30
PL,55
PP,61
PT,74
PY,33
QA,4
QF,43
QG,102
QH,101
RD,0
RG,113
RJ,29
RQ,35
RR,110
RW,119
SB,1
SR,70
ST,25
SZ,8
TG,122
TR,45
TX,48
UH,27
UN,89
UO,20
UR,60
US,51
UT,93
VE,115
VR,87
WL,108
WQ,15
XG,40
XH,92
XN,118
XS,90
XV,13
XW,18
XY,64
YP,67
YQ,114
YX,49
ZC,7
ZI,34
ZR,5
